Benchmark Type,Test Name,Kernel ID,Thread block Limit SM,Thread block limit registers,Thread block limit shared memory,Thread block limit warps,Theoretical max active warps per SM,Theoretical occupancy,Achieved active warps per SM,Achieved occupancy,Unified L1 cache hit rate,Unified L1 cache hit rate for read transactions (global memory accesses),L2 cache hit rate,GMEM read requests,GMEM write requests,GMEM total requests,GMEM read transactions,GMEM write transactions,GMEM total transactions,Number of read transactions per read requests,Number of write transactions per write requests,L2 read transactions,L2 write transactions,L2 total transactions,DRAM total transactions,Total number of global atomic requests,Total number of global reduction requests,Global memory atomic and reduction transactions,GPU active cycles,SM active cycles,Warp instructions executed,Instructions executed per clock cycle (IPC),Total instructions executed per seconds (MIPS),Kernel execution time (ns),Unified L1 cache total requests,Unified L2 cache total requests
standard,window-128.base,44,32.0,2.0,2.0,16.0,8.0,12.5,7.790801641304746,12.173127564538666,28.091896705471935,0.0,81.65877185298754,450560.0,81920.0,532480.0,7208960.0,1064960.0,8273920.0,16.0,13.0,7403640.0,3166208.0,10569848.0,2621660.0,0.0,0.0,0.0,467690.0,454068.1964285714,36336128.0,1.3873907790613167,1247.5762716333686,520096.0,1729536.0,2646111.0
standard,window-128.base,45,32.0,2.0,2.0,16.0,8.0,12.5,7.793314529684936,12.177053952632713,28.074916338389777,0.0,81.72937005604967,450560.0,81920.0,532480.0,7208960.0,1064960.0,8273920.0,16.0,13.0,7401128.0,3166208.0,10567336.0,2619120.0,0.0,0.0,0.0,470838.0,451906.98214285716,36336128.0,1.3781153504578683,1247.8065934065933,520000.0,1729536.0,2646498.0
standard,window-128.base,46,32.0,2.0,2.0,16.0,8.0,12.5,7.795747095619789,12.18085483690592,28.074334504350894,0.0,81.6786176837226,450560.0,81920.0,532480.0,7208960.0,1064960.0,8273920.0,16.0,13.0,7400820.0,3166208.0,10567028.0,2617004.0,0.0,0.0,0.0,475116.0,453642.08928571426,36336128.0,1.3657093304499788,1245.9663968819675,520768.0,1729536.0,2646683.0
standard,window-128.base,47,32.0,2.0,2.0,16.0,8.0,12.5,7.793165594616024,12.176821241587538,28.01896840212449,0.0,81.78654387926593,450560.0,81920.0,532480.0,7208960.0,1064960.0,8273920.0,16.0,13.0,7401384.0,3166208.0,10567592.0,2618824.0,0.0,0.0,0.0,466179.0,457009.66071428574,36336128.0,1.3918899558883984,1238.5082545111864,523904.0,1729536.0,2647428.0
standard,window-128.base,48,32.0,2.0,2.0,16.0,8.0,12.5,7.792710711809018,12.17611048720159,28.08537403966761,0.0,81.7771189286099,450560.0,81920.0,532480.0,7208960.0,1064960.0,8273920.0,16.0,13.0,7405276.0,3166208.0,10571484.0,2622068.0,0.0,0.0,0.0,465661.0,452869.51785714284,36336128.0,1.3934218571345738,1241.161605120716,522784.0,1729536.0,2646740.0
standard,window-128.base,49,32.0,4.0,32.0,8.0,32.0,50.0,27.78799988511361,43.418749820490014,49.98617172241212,0.0,99.9927924059176,0.0,1048576.0,1048576.0,0.0,2097152.0,2097152.0,0.0,2.0,0.0,2097152.0,2097152.0,1724756.0,0.0,0.0,0.0,249363.0,246827.69642857142,37688832.0,2.699006671744499,2508.8529506995446,268256.0,1048576.0,941084.0
standard,window-128.base,50,32.0,4.0,32.0,8.0,32.0,50.0,27.79997279986389,43.43745749978733,49.99275207519531,0.0,100.39172325497657,0.0,262144.0,262144.0,0.0,524288.0,524288.0,0.0,2.0,0.0,524288.0,524288.0,163100.0,0.0,0.0,0.0,68288.0,65913.53571428571,9918464.0,2.5939196639098516,2406.4596273291927,73600.0,262144.0,236872.0
standard,window-128.base,51,32.0,4.0,32.0,8.0,32.0,50.0,27.79608558800437,43.43138373125683,49.995040893554695,0.0,99.99783164924759,0.0,262144.0,262144.0,0.0,524288.0,524288.0,0.0,2.0,0.0,524288.0,524288.0,163500.0,0.0,0.0,0.0,68294.0,65912.10714285714,9918464.0,2.593691750573734,2409.602587225574,73504.0,262144.0,236888.0
standard,window-128.base,52,32.0,2.0,2.0,16.0,8.0,12.5,7.8652887515257754,12.289513674259025,27.832099519865622,0.0,80.61836699453279,909312.0,163840.0,1073152.0,14548992.0,2129920.0,16678912.0,16.0,13.0,14967268.0,6377472.0,21344740.0,5855284.0,0.0,0.0,0.0,915534.0,909066.625,73318912.0,1.4300731446846677,1298.5042822232197,1008288.0,3494912.0,5345317.0
standard,window-128.base,53,32.0,2.0,2.0,16.0,8.0,12.5,7.863117483423441,12.286121067849127,27.906377133660865,0.0,80.75562953931396,909312.0,163840.0,1073152.0,14548992.0,2129920.0,16678912.0,16.0,13.0,14972436.0,6377472.0,21349908.0,5877316.0,0.0,0.0,0.0,923500.0,912319.8928571428,73318912.0,1.4177247068029482,1289.6634020038275,1015200.0,3494912.0,5345089.0
standard,window-128.base,54,32.0,2.0,2.0,16.0,8.0,12.5,7.863326372050961,12.286447456329627,27.874972995475378,0.0,80.58758024454015,909312.0,163840.0,1073152.0,14548992.0,2129920.0,16678912.0,16.0,13.0,14971300.0,6377472.0,21348772.0,5848444.0,0.0,0.0,0.0,921664.0,911239.125,73318912.0,1.4205546693425881,1285.328330879977,1018624.0,3494912.0,5345948.0
standard,window-128.base,55,32.0,2.0,2.0,16.0,8.0,12.5,7.860296921206476,12.281713939385119,27.81826728653682,0.0,80.55415991045695,909312.0,163840.0,1073152.0,14548992.0,2129920.0,16678912.0,16.0,13.0,14973828.0,6377472.0,21351300.0,5872988.0,0.0,0.0,0.0,920198.0,905539.6607142857,73318912.0,1.4228147263587054,1295.6259358615355,1010528.0,3494912.0,5347513.0
standard,window-128.base,56,32.0,2.0,2.0,16.0,8.0,12.5,7.8646689109481605,12.2885451733565,27.858906820432654,0.0,80.67572741477804,909312.0,163840.0,1073152.0,14548992.0,2129920.0,16678912.0,16.0,13.0,14975644.0,6377472.0,21353116.0,5860252.0,0.0,0.0,0.0,924948.0,909438.375,73318912.0,1.4155159765512013,1309.0987210779879,1000128.0,3494912.0,5346282.0
standard,window-128.base,57,32.0,2.0,2.0,16.0,8.0,12.5,7.866315474006199,12.291117928134685,27.862555465473044,0.0,80.59559321991561,909312.0,163840.0,1073152.0,14548992.0,2129920.0,16678912.0,16.0,13.0,14970276.0,6377472.0,21347748.0,5879308.0,0.0,0.0,0.0,931328.0,923858.6607142857,73318912.0,1.405822007177775,1305.1316287145178,1003168.0,3494912.0,5345787.0
standard,window-128.base,58,32.0,2.0,2.0,16.0,8.0,12.5,7.859827831697739,12.280980987027718,27.850236547498834,0.0,80.65825897699516,909312.0,163840.0,1073152.0,14548992.0,2129920.0,16678912.0,16.0,13.0,14966680.0,6377472.0,21344152.0,5869320.0,0.0,0.0,0.0,918712.0,914261.125,73318912.0,1.4251215414243807,1297.804080079028,1008832.0,3494912.0,5346116.0
standard,window-128.base,59,32.0,2.0,2.0,16.0,8.0,12.5,7.864305000068358,12.28797656260681,27.867364698228986,0.0,80.57016491052906,909312.0,163840.0,1073152.0,14548992.0,2129920.0,16678912.0,16.0,13.0,14969548.0,6377472.0,21347020.0,5870412.0,0.0,0.0,0.0,925478.0,907767.9464285715,73318912.0,1.4146996030292462,1301.5610443318412,1005920.0,3494912.0,5346219.0
standard,window-128.base,60,32.0,4.0,32.0,8.0,32.0,50.0,27.83288989769752,43.48889046515237,50.0,0.0,98.88691769305238,0.0,65536.0,65536.0,0.0,131072.0,131072.0,0.0,2.0,0.0,131072.0,131072.0,0.0,0.0,0.0,0.0,22445.0,20014.178571428572,2884608.0,2.29574850775965,2129.251700680272,24192.0,65536.0,59638.0
standard,window-128.base,61,32.0,4.0,32.0,8.0,32.0,50.0,27.68165439218351,43.25258498778673,50.0,0.0,100.1388912413828,0.0,16384.0,16384.0,0.0,32768.0,32768.0,0.0,2.0,0.0,32768.0,32768.0,4.0,0.0,0.0,0.0,11923.0,9723.035714285714,1304064.0,1.9542511868795855,1783.613445378151,13056.0,16384.0,15605.0
standard,window-128.base,62,32.0,4.0,32.0,8.0,32.0,50.0,27.68077282321705,43.251207536276645,50.0,0.0,97.60835073068894,0.0,16384.0,16384.0,0.0,32768.0,32768.0,0.0,2.0,0.0,32768.0,32768.0,0.0,0.0,0.0,0.0,11983.0,9712.07142857143,1304064.0,1.944500940889476,1783.613445378151,13056.0,16384.0,15578.0
standard,window-128.base,63,32.0,2.0,2.0,16.0,8.0,12.5,7.311407141455413,11.424073658524083,22.850615300678953,0.0,72.2018910013018,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597116.0,288768.0,885884.0,199372.0,0.0,0.0,0.0,57793.0,42494.83928571428,2983936.0,0.9221137129037501,822.6990400903444,64768.0,130304.0,221910.0
standard,window-128.base,64,32.0,2.0,2.0,16.0,8.0,12.5,7.315310976634728,11.430173400991762,24.077048981571288,0.0,71.7364445162003,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597552.0,288768.0,886320.0,199096.0,0.0,0.0,0.0,57842.0,42492.857142857145,2983936.0,0.9213284705248844,828.8416411860911,64288.0,130304.0,221901.0
standard,window-128.base,65,32.0,2.0,2.0,16.0,8.0,12.5,7.313671962633313,11.427612441614551,24.018417343598447,0.0,71.7454334096981,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597564.0,288768.0,886332.0,199080.0,0.0,0.0,0.0,57481.0,42505.392857142855,2983936.0,0.927131609527538,827.194663260237,64416.0,130304.0,222007.0
standard,window-128.base,66,32.0,2.0,2.0,16.0,8.0,12.5,7.314655690029381,11.429149515670908,23.98573896702231,0.0,71.84844388447405,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597824.0,288768.0,886592.0,199132.0,0.0,0.0,0.0,57604.0,42380.05357142857,2983936.0,0.9251074716431736,821.8868988859117,64832.0,130304.0,222016.0
standard,window-128.base,67,32.0,2.0,2.0,16.0,8.0,12.5,7.305946576030678,11.415541525047935,24.03755076988361,0.0,71.60762416052756,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597664.0,288768.0,886432.0,199028.0,0.0,0.0,0.0,57279.0,42404.05357142857,2983936.0,0.9303326758924557,817.4486289361105,65184.0,130304.0,221996.0
standard,window-128.base,68,32.0,2.0,2.0,16.0,8.0,12.5,7.291866246401246,11.393541010001947,24.104044162221147,0.0,71.83336167318484,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597356.0,288768.0,886124.0,199412.0,0.0,0.0,0.0,56766.0,42388.17857142857,2983936.0,0.9388235131252481,809.8943857698722,65792.0,130304.0,221983.0
standard,window-128.base,69,32.0,2.0,2.0,16.0,8.0,12.5,7.304720248393929,11.413625388115515,24.025521338506305,0.0,71.80783194645979,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597396.0,288768.0,886164.0,199204.0,0.0,0.0,0.0,57833.0,42553.375,2983936.0,0.9214240630237932,828.0173332386161,64352.0,130304.0,222011.0
standard,window-128.base,70,32.0,2.0,2.0,16.0,8.0,12.5,7.290797108203644,11.391870481568194,24.0812166585839,0.0,71.60150278401677,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597340.0,288768.0,886108.0,199328.0,0.0,0.0,0.0,57405.0,42338.982142857145,2983936.0,0.9283430711890139,823.1057128733845,64736.0,130304.0,221950.0
standard,window-128.base,71,32.0,2.0,2.0,16.0,8.0,12.5,7.307301157739656,11.417658058968213,23.989054164645975,0.0,71.79583079742545,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597596.0,288768.0,886364.0,199100.0,0.0,0.0,0.0,58061.0,42362.41071428572,2983936.0,0.917860772545285,824.7364324630298,64608.0,130304.0,222066.0
standard,window-128.base,72,32.0,2.0,2.0,16.0,8.0,12.5,7.277273070194183,11.37073917217841,24.115599993937927,0.0,71.45596078996684,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597524.0,288768.0,886292.0,199124.0,0.0,0.0,0.0,57432.0,42368.94642857143,2983936.0,0.9278823429904821,819.4600674915636,65024.0,130304.0,221954.0
standard,window-128.base,73,32.0,2.0,2.0,16.0,8.0,12.5,7.293937411017986,11.396777204715605,24.01983814258002,0.0,71.6621230236003,36864.0,10240.0,47104.0,589824.0,133120.0,722944.0,16.0,13.0,597704.0,288768.0,886472.0,199072.0,0.0,0.0,0.0,58193.0,42707.767857142855,2983936.0,0.915806034014453,825.5542177208017,64544.0,130304.0,221975.0
standard,window-128.base,74,32.0,4.0,32.0,8.0,32.0,50.0,27.793474460945323,43.427303845227065,50.0,0.0,100.06699960560516,0.0,131072.0,131072.0,0.0,262144.0,262144.0,0.0,2.0,0.0,262144.0,262144.0,0.0,0.0,0.0,0.0,38463.0,36164.5,5346816.0,2.4826302764093255,2305.8070214175314,41408.0,131072.0,119034.0
standard,window-128.base,75,32.0,4.0,32.0,8.0,32.0,50.0,27.75654797324798,43.36960620819997,50.0,0.0,97.70179966764488,0.0,32768.0,32768.0,0.0,65536.0,65536.0,0.0,2.0,0.0,65536.0,65536.0,36.0,0.0,0.0,0.0,15584.0,13294.05357142857,1832960.0,2.1013002437240487,1933.5673778017824,16928.0,32768.0,30498.0
standard,window-128.base,76,32.0,4.0,32.0,8.0,32.0,50.0,27.73287039213448,43.33260998771012,50.0,0.0,99.31067778880454,0.0,32768.0,32768.0,0.0,65536.0,65536.0,0.0,2.0,0.0,65536.0,65536.0,0.0,0.0,0.0,0.0,15501.0,13294.910714285714,1832960.0,2.1120797929586588,1944.595328625747,16832.0,32768.0,30512.0
standard,window-128.base,77,32.0,2.0,2.0,16.0,8.0,12.5,7.485932126704617,11.696768947975963,23.241740151168116,0.0,75.0247116458614,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266196.0,600064.0,1866260.0,460980.0,0.0,0.0,0.0,100289.0,83041.28571428571,6313472.0,1.1242185546831875,901.9822982956625,124992.0,279296.0,467527.0
standard,window-128.base,78,32.0,2.0,2.0,16.0,8.0,12.5,7.432273511106763,11.612927361104317,23.719240294319743,0.0,74.71374787537054,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266408.0,600064.0,1866472.0,459592.0,0.0,0.0,0.0,97074.0,83981.96428571429,6313472.0,1.161459713073015,916.7688933496895,122976.0,279296.0,467622.0
standard,window-128.base,79,32.0,2.0,2.0,16.0,8.0,12.5,7.4333990750179035,11.614686054715474,23.741160387081997,0.0,74.68038917693583,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266448.0,600064.0,1866512.0,461328.0,0.0,0.0,0.0,96557.0,83878.07142857143,6313472.0,1.1676910557076274,925.1950780312126,121856.0,279296.0,467590.0
standard,window-128.base,80,32.0,2.0,2.0,16.0,8.0,12.5,7.44421411148599,11.631584549196859,23.704790927049928,0.0,74.85223071426353,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266928.0,600064.0,1866992.0,462152.0,0.0,0.0,0.0,101226.0,83678.03571428571,6313472.0,1.113806141300436,911.7864537119195,123648.0,279296.0,467538.0
standard,window-128.base,81,32.0,2.0,2.0,16.0,8.0,12.5,7.468152883944808,11.668988881163763,23.68613648076042,0.0,74.57690368207102,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266436.0,600064.0,1866500.0,460660.0,0.0,0.0,0.0,99838.0,83524.60714285714,6313472.0,1.1292803196162773,917.4851190476189,122880.0,279296.0,467866.0
standard,window-128.base,82,32.0,2.0,2.0,16.0,8.0,12.5,7.440323265008984,11.625505101576538,23.701212136394872,0.0,74.75950741782216,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266684.0,600064.0,1866748.0,460740.0,0.0,0.0,0.0,97043.0,83792.375,6313472.0,1.1618427328885303,910.1376536147912,123872.0,279296.0,467593.0
standard,window-128.base,83,32.0,2.0,2.0,16.0,8.0,12.5,7.4514643494868915,11.642913046073268,23.726621550045806,0.0,74.4557302536988,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266036.0,600064.0,1866100.0,459652.0,0.0,0.0,0.0,99063.0,83473.80357142857,6313472.0,1.1381929378542277,912.9678303039276,123488.0,279296.0,467739.0
standard,window-128.base,84,32.0,2.0,2.0,16.0,8.0,12.5,7.4365855960398575,11.619664993812277,23.710695931630784,0.0,74.67280202018871,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266456.0,600064.0,1866520.0,461016.0,0.0,0.0,0.0,101925.0,83820.94642857143,6313472.0,1.1061700154147889,902.2132796780684,124960.0,279296.0,467571.0
standard,window-128.base,85,32.0,2.0,2.0,16.0,8.0,12.5,7.465587923791206,11.66498113092376,23.738207884791567,0.0,74.17447056208464,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266676.0,600064.0,1866740.0,460032.0,0.0,0.0,0.0,98850.0,83375.26785714286,6313472.0,1.1405794064299806,926.4114796589158,121696.0,279296.0,467641.0
standard,window-128.base,86,32.0,2.0,2.0,16.0,8.0,12.5,7.427690984968016,11.605767164012525,23.730245075584058,0.0,74.65935515810375,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1265988.0,600064.0,1866052.0,461340.0,0.0,0.0,0.0,101964.0,84158.64285714286,6313472.0,1.1057685874507714,906.1581422692534,124416.0,279296.0,467624.0
standard,window-128.base,87,32.0,2.0,2.0,16.0,8.0,12.5,7.446083715878307,11.634505806059854,23.731005568598256,0.0,74.3136423949337,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266664.0,600064.0,1866728.0,459956.0,0.0,0.0,0.0,99116.0,83518.03571428571,6313472.0,1.1374752136142343,917.0075109689893,122944.0,279296.0,467635.0
standard,window-128.base,88,32.0,2.0,2.0,16.0,8.0,12.5,7.440396197089452,11.62561905795227,23.73216867556115,0.0,74.46393641709594,77824.0,20480.0,98304.0,1245184.0,266240.0,1511424.0,16.0,13.0,1266500.0,600064.0,1866564.0,460736.0,0.0,0.0,0.0,97088.0,83526.25,6313472.0,1.1612982023204363,895.1074332171894,125952.0,279296.0,467668.0
standard,window-128.base,89,32.0,4.0,32.0,8.0,32.0,50.0,27.79139076524575,43.424048070696486,49.99427795410157,0.0,99.76287450533623,0.0,262144.0,262144.0,0.0,524288.0,524288.0,0.0,2.0,0.0,524288.0,524288.0,163132.0,0.0,0.0,0.0,68324.0,65933.76785714286,9918464.0,2.5925622716453662,2405.4137952443034,73632.0,262144.0,236809.0
standard,window-128.base,90,32.0,4.0,32.0,8.0,32.0,50.0,27.844532410489904,43.50708189139048,50.0,0.0,98.89900359594034,0.0,65536.0,65536.0,0.0,131072.0,131072.0,0.0,2.0,0.0,131072.0,131072.0,0.0,0.0,0.0,0.0,22437.0,20088.01785714286,2884608.0,2.296132262455325,2126.438950745424,24224.0,65536.0,59605.0
standard,window-128.base,91,32.0,4.0,32.0,8.0,32.0,50.0,27.83912076694649,43.49862619835389,50.0,0.0,100.84073167890016,0.0,65536.0,65536.0,0.0,131072.0,131072.0,0.0,2.0,0.0,131072.0,131072.0,4.0,0.0,0.0,0.0,22279.0,20012.571428571428,2884608.0,2.3124185332865177,2129.2517006802723,24192.0,65536.0,59573.0
standard,window-128.base,92,32.0,2.0,2.0,16.0,8.0,12.5,7.61518658032113,11.898729031751767,22.696470358814352,0.0,76.377256506192,159744.0,40960.0,200704.0,2555904.0,532480.0,3088384.0,16.0,13.0,2616400.0,1222656.0,3839056.0,1164888.0,0.0,0.0,0.0,177427.0,166110.0,12972544.0,1.305627388442079,1112.858240913583,208160.0,577280.0,962132.0
standard,window-128.base,93,32.0,2.0,2.0,16.0,8.0,12.5,7.613092180228752,11.895456531607424,22.933635537385783,0.0,76.29845846394267,159744.0,40960.0,200704.0,2555904.0,532480.0,3088384.0,16.0,13.0,2618096.0,1222656.0,3840752.0,1166536.0,0.0,0.0,0.0,178269.0,166084.9642857143,12972544.0,1.2994934271750225,1112.1743519961371,208288.0,577280.0,962349.0
standard,window-128.base,94,32.0,2.0,2.0,16.0,8.0,12.5,7.632182011900189,11.925284393594044,22.942950642132825,0.0,76.31102186242973,159744.0,40960.0,200704.0,2555904.0,532480.0,3088384.0,16.0,13.0,2618168.0,1222656.0,3840824.0,1167172.0,0.0,0.0,0.0,180564.0,164970.375,12972544.0,1.2829583946088732,1117.6691148900504,207264.0,577280.0,962391.0
